Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-05-30,Harry Potter Ranked,,https://boxd.it/vRU1g,Me surpreendi. Universo interessante e bons filmes

Position,Name,Year,URL,Description
1,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,
2,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,
3,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,
4,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,
5,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,
6,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,
7,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,
8,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,
